Transit_ID,Shipment_ID,Route_ID,Carrier_ID,Route_Type,Num_Transshipments,Std_Transit_Days,Actual_Transit_Days,Delay_Days,Sailing_Days,Port_Waiting_Days,Customs_Clearance_Days,Transshipment_Wait_Days,Primary_Bottleneck,Transit_Efficiency_Pct,On_Time,Congestion_Score
TRN0000048,SHP0000048,RTE0029,CAR002,Direct,0,30,30,0,27,1,2,0,None,100.0,Yes,6.7
TRN0000049,SHP0000049,RTE0024,CAR004,Transshipment,1,33,33,0,29,0,1,3,None,100.0,Yes,9.9
TRN0000050,SHP0000050,RTE0051,CAR009,Direct,0,21,28,7,17,7,4,0,Equipment Shortage,75.0,No,6.0
TRN0000051,SHP0000051,RTE0016,CAR002,Transshipment,2,26,26,0,18,0,4,4,None,100.0,Yes,7.1
TRN0000052,SHP0000052,RTE0011,CAR003,Direct,0,15,15,0,8,4,3,0,None,100.0,Yes,6.4
TRN0000053,SHP0000053,RTE0053,CAR009,Direct,0,32,33,1,27,4,2,0,None,97.0,No,10.0
TRN0000054,SHP0000054,RTE0027,CAR007,Direct,0,20,35,15,21,10,4,0,Equipment Shortage,57.1,No,7.2
TRN0000055,SHP0000055,RTE0051,CAR002,Direct,0,21,21,0,20,0,1,0,None,100.0,Yes,5.6
TRN0000056,SHP0000056,RTE0020,CAR005,Transshipment,1,35,35,0,28,2,3,2,None,100.0,Yes,4.9
TRN0000057,SHP0000057,RTE0041,CAR001,Direct,0,22,22,0,15,3,4,0,None,100.0,Yes,3.8
TRN0000058,SHP0000058,RTE0009,CAR002,Direct,0,30,30,0,24,4,2,0,None,100.0,Yes,9.4
TRN0000059,SHP0000059,RTE0023,CAR008,Direct,0,21,21,0,18,0,3,0,None,100.0,Yes,5.7
TRN0000060,SHP0000060,RTE0048,CAR003,Transshipment,1,31,38,7,29,5,1,3,Transshipment Delay,81.6,No,3.9
TRN0000061,SHP0000061,RTE0060,CAR008,Transshipment,1,31,34,3,26,3,4,1,Transshipment Delay,91.2,No,6.1
TRN0000062,SHP0000062,RTE0035,CAR009,Direct,0,25,25,0,20,1,4,0,None,100.0,Yes,6.1
TRN0000063,SHP0000063,RTE0010,CAR004,Transshipment,1,37,37,0,33,1,2,1,None,100.0,Yes,3.9
TRN0000064,SHP0000064,RTE0020,CAR007,Transshipment,1,35,35,0,29,1,4,1,None,100.0,Yes,6.7
TRN0000065,SHP0000065,RTE0029,CAR008,Direct,0,30,30,0,24,2,4,0,None,100.0,Yes,8.4
TRN0000066,SHP0000066,RTE0003,CAR002,Direct,0,20,20,0,14,4,2,0,None,100.0,Yes,9.6
TRN0000067,SHP0000067,RTE0017,CAR004,Direct,0,31,31,0,25,2,4,0,None,100.0,Yes,2.7
TRN0000068,SHP0000068,RTE0037,CAR003,Direct,0,19,33,14,21,9,3,0,Weather Delay,57.6,No,4.7
TRN0000069,SHP0000069,RTE0038,CAR007,Transshipment,2,27,35,8,26,4,3,2,Customs Delay,77.1,No,9.4
TRN0000070,SHP0000070,RTE0019,CAR008,Direct,0,28,28,0,22,2,4,0,None,100.0,Yes,5.9
TRN0000071,SHP0000071,RTE0046,CAR006,Transshipment,1,35,35,0,27,3,4,1,None,100.0,Yes,5.5
TRN0000072,SHP0000072,RTE0017,CAR008,Direct,0,31,31,0,23,4,4,0,None,100.0,Yes,7.7
TRN0000073,SHP0000073,RTE0053,CAR006,Direct,0,32,36,4,28,6,2,0,None,88.9,No,9.7
TRN0000074,SHP0000074,RTE0026,CAR009,Transshipment,1,29,29,0,21,4,3,1,None,100.0,Yes,7.8
TRN0000075,SHP0000075,RTE0043,CAR008,Direct,0,30,30,0,23,4,3,0,None,100.0,Yes,5.7
TRN0000076,SHP0000076,RTE0037,CAR009,Direct,0,19,19,0,13,3,3,0,None,100.0,Yes,8.2
TRN0000077,SHP0000077,RTE0043,CAR010,Direct,0,30,30,0,26,1,3,0,None,100.0,Yes,1.4
TRN0000078,SHP0000078,RTE0033,CAR001,Direct,0,22,22,0,16,4,2,0,None,100.0,Yes,6.9
TRN0000079,SHP0000079,RTE0021,CAR010,Direct,0,24,31,7,22,7,2,0,Customs Delay,77.4,No,1.2
TRN0000080,SHP0000080,RTE0019,CAR008,Direct,0,28,28,0,23,3,2,0,None,100.0,Yes,5.2
TRN0000081,SHP0000081,RTE0042,CAR010,Transshipment,2,30,30,0,23,4,1,2,None,100.0,Yes,6.8
TRN0000082,SHP0000082,RTE0054,CAR004,Transshipment,1,42,42,0,35,1,4,2,None,100.0,Yes,6.4
TRN0000083,SHP0000083,RTE0049,CAR010,Direct,0,28,28,0,26,1,1,0,None,100.0,Yes,8.0
TRN0000084,SHP0000084,RTE0012,CAR008,Transshipment,2,21,21,0,16,1,2,2,None,100.0,Yes,1.7
TRN0000085,SHP0000085,RTE0020,CAR004,Transshipment,1,35,35,0,30,1,1,3,None,100.0,Yes,7.9
TRN0000086,SHP0000086,RTE0047,CAR005,Direct,0,23,23,0,21,1,1,0,None,100.0,Yes,6.6
TRN0000087,SHP0000087,RTE0046,CAR002,Transshipment,1,35,35,0,31,1,1,2,None,100.0,Yes,2.4
TRN0000088,SHP0000088,RTE0017,CAR003,Direct,0,31,31,0,29,0,2,0,None,100.0,Yes,8.3
TRN0000089,SHP0000089,RTE0032,CAR002,Transshipment,1,30,31,1,27,1,1,2,None,96.8,No,7.9
TRN0000090,SHP0000090,RTE0020,CAR001,Transshipment,1,35,35,0,28,4,2,1,None,100.0,Yes,2.5
TRN0000091,SHP0000091,RTE0060,CAR001,Transshipment,1,31,34,3,29,2,2,1,Port Congestion,91.2,No,5.9
TRN0000092,SHP0000092,RTE0021,CAR005,Direct,0,24,32,8,23,7,2,0,None,75.0,No,8.5
TRN0000093,SHP0000093,RTE0048,CAR008,Transshipment,1,31,31,0,24,1,3,3,None,100.0,Yes,1.2
TRN0000094,SHP0000094,RTE0057,CAR007,Direct,0,29,29,0,27,1,1,0,None,100.0,Yes,8.0
TRN0000095,SHP0000095,RTE0018,CAR007,Transshipment,1,42,42,0,34,3,3,2,None,100.0,Yes,9.1
TRN0000096,SHP0000096,RTE0045,CAR004,Direct,0,27,27,0,26,0,1,0,None,100.0,Yes,1.1
TRN0000097,SHP0000097,RTE0023,CAR010,Direct,0,21,21,0,20,0,1,0,None,100.0,Yes,4.4
TRN0000098,SHP0000098,RTE0049,CAR009,Direct,0,28,28,0,24,2,2,0,None,100.0,Yes,9.5
TRN0000099,SHP0000099,RTE0060,CAR010,Transshipment,1,31,31,0,25,2,2,2,None,100.0,Yes,9.9
TRN0000100,SHP0000100,RTE0034,CAR008,Transshipment,1,27,27,0,18,4,4,1,None,100.0,Yes,4.4
TRN0000101,SHP0000101,RTE0029,CAR010,Direct,0,30,41,11,31,7,3,0,Customs Delay,73.2,No,5.4
TRN0000102,SHP0000102,RTE0024,CAR002,Transshipment,1,33,48,15,35,11,1,1,None,68.8,No,5.2
TRN0000103,SHP0000103,RTE0047,CAR007,Direct,0,23,31,8,19,8,4,0,Port Congestion,74.2,No,2.2
TRN0000104,SHP0000104,RTE0012,CAR009,Transshipment,2,21,21,0,16,1,2,2,None,100.0,Yes,8.6
TRN0000105,SHP0000105,RTE0027,CAR009,Direct,0,20,20,0,19,0,1,0,None,100.0,Yes,3.1
TRN0000106,SHP0000106,RTE0039,CAR001,Direct,0,29,29,0,24,4,1,0,None,100.0,Yes,9.4
TRN0000107,SHP0000107,RTE0030,CAR004,Transshipment,1,35,48,13,38,8,1,1,Weather Delay,72.9,No,8.5
TRN0000108,SHP0000108,RTE0021,CAR010,Direct,0,24,24,0,22,1,1,0,None,100.0,Yes,7.0
TRN0000109,SHP0000109,RTE0038,CAR003,Transshipment,2,27,27,0,22,0,1,4,None,100.0,Yes,8.8
TRN0000110,SHP0000110,RTE0019,CAR007,Direct,0,28,32,4,26,3,3,0,Weather Delay,87.5,No,1.7
TRN0000111,SHP0000111,RTE0033,CAR003,Direct,0,22,22,0,19,1,2,0,None,100.0,Yes,7.6
TRN0000112,SHP0000112,RTE0003,CAR005,Direct,0,20,20,0,16,2,2,0,None,100.0,Yes,5.1
TRN0000113,SHP0000113,RTE0019,CAR001,Direct,0,28,28,0,24,1,3,0,None,100.0,Yes,6.9
TRN0000114,SHP0000114,RTE0022,CAR005,Transshipment,1,36,36,0,33,0,2,1,None,100.0,Yes,3.0
TRN0000115,SHP0000115,RTE0051,CAR008,Direct,0,21,21,0,17,0,4,0,None,100.0,Yes,6.1
TRN0000116,SHP0000116,RTE0001,CAR005,Direct,0,24,24,0,20,2,2,0,None,100.0,Yes,9.6
TRN0000117,SHP0000117,RTE0041,CAR006,Direct,0,22,22,0,19,1,2,0,None,100.0,Yes,5.4
TRN0000118,SHP0000118,RTE0031,CAR003,Direct,0,20,20,0,19,0,1,0,None,100.0,Yes,7.8
TRN0000119,SHP0000119,RTE0005,CAR003,Direct,0,23,23,0,16,3,4,0,None,100.0,Yes,2.0
TRN0000120,SHP0000120,RTE0036,CAR009,Transshipment,2,32,32,0,19,3,4,6,None,100.0,Yes,5.8
TRN0000121,SHP0000121,RTE0027,CAR003,Direct,0,20,20,0,18,1,1,0,None,100.0,Yes,3.9
TRN0000122,SHP0000122,RTE0026,CAR002,Transshipment,1,29,29,0,22,2,2,3,None,100.0,Yes,4.6
TRN0000123,SHP0000123,RTE0036,CAR008,Transshipment,2,32,32,0,24,2,2,4,None,100.0,Yes,5.0
TRN0000124,SHP0000124,RTE0057,CAR009,Direct,0,29,33,4,28,3,2,0,Port Congestion,87.9,No,6.5
TRN0000125,SHP0000125,RTE0036,CAR010,Transshipment,2,32,35,3,24,1,4,6,Equipment Shortage,91.4,No,8.3
TRN0000126,SHP0000126,RTE0025,CAR002,Direct,0,18,18,0,14,2,2,0,None,100.0,Yes,8.7
TRN0000127,SHP0000127,RTE0046,CAR002,Transshipment,1,35,35,0,30,2,1,2,None,100.0,Yes,8.1
TRN0000128,SHP0000128,RTE0025,CAR006,Direct,0,18,31,13,18,10,3,0,Customs Delay,58.1,No,1.5
TRN0000129,SHP0000129,RTE0043,CAR007,Direct,0,30,30,0,27,2,1,0,None,100.0,Yes,3.9
TRN0000130,SHP0000130,RTE0009,CAR007,Direct,0,30,30,0,27,2,1,0,None,100.0,Yes,3.3
TRN0000131,SHP0000131,RTE0028,CAR008,Transshipment,1,28,28,0,21,2,2,3,None,100.0,Yes,3.6
TRN0000132,SHP0000132,RTE0055,CAR007,Direct,0,18,18,0,11,3,4,0,None,100.0,Yes,3.1
TRN0000133,SHP0000133,RTE0011,CAR003,Direct,0,15,15,0,9,3,3,0,None,100.0,Yes,5.1
TRN0000134,SHP0000134,RTE0005,CAR006,Direct,0,23,23,0,19,3,1,0,None,100.0,Yes,1.1
TRN0000135,SHP0000135,RTE0026,CAR006,Transshipment,1,29,42,13,30,6,4,2,Weather Delay,69.0,No,3.5
TRN0000136,SHP0000136,RTE0045,CAR004,Direct,0,27,30,3,26,1,3,0,Equipment Shortage,90.0,No,3.1
TRN0000137,SHP0000137,RTE0052,CAR007,Transshipment,1,32,32,0,28,2,1,1,None,100.0,Yes,5.5
TRN0000138,SHP0000138,RTE0045,CAR004,Direct,0,27,27,0,22,1,4,0,None,100.0,Yes,5.1
TRN0000139,SHP0000139,RTE0045,CAR007,Direct,0,27,35,8,28,5,2,0,None,77.1,No,2.7
TRN0000140,SHP0000140,RTE0027,CAR009,Direct,0,20,32,12,24,6,2,0,Port Congestion,62.5,No,1.1
TRN0000141,SHP0000141,RTE0042,CAR010,Transshipment,2,30,30,0,27,0,1,2,None,100.0,Yes,1.6
TRN0000142,SHP0000142,RTE0033,CAR009,Direct,0,22,22,0,18,1,3,0,None,100.0,Yes,4.8
TRN0000143,SHP0000143,RTE0008,CAR005,Transshipment,1,30,32,2,26,4,1,1,Weather Delay,93.8,No,9.0
TRN0000144,SHP0000144,RTE0023,CAR008,Direct,0,21,21,0,16,4,1,0,None,100.0,Yes,1.3
TRN0000145,SHP0000145,RTE0056,CAR006,Transshipment,2,28,39,11,26,5,4,4,Equipment Shortage,71.8,No,1.6
TRN0000146,SHP0000146,RTE0029,CAR004,Direct,0,30,30,0,24,3,3,0,None,100.0,Yes,8.2
TRN0000147,SHP0000147,RTE0027,CAR007,Direct,0,20,20,0,16,0,4,0,None,100.0,Yes,7.0
TRN0000148,SHP0000148,RTE0030,CAR002,Transshipment,1,35,44,9,31,8,3,2,Equipment Shortage,79.5,No,6.1
TRN0000149,SHP0000149,RTE0056,CAR008,Transshipment,2,28,28,0,18,4,4,2,None,100.0,Yes,6.7
TRN0000150,SHP0000150,RTE0016,CAR005,Transshipment,2,26,26,0,20,0,2,4,None,100.0,Yes,8.5
TRN0000151,SHP0000151,RTE0012,CAR008,Transshipment,2,21,21,0,13,3,1,4,None,100.0,Yes,6.7
TRN0000152,SHP0000152,RTE0055,CAR006,Direct,0,18,18,0,13,4,1,0,None,100.0,Yes,5.9
TRN0000153,SHP0000153,RTE0045,CAR008,Direct,0,27,27,0,22,4,1,0,None,100.0,Yes,1.6
TRN0000154,SHP0000154,RTE0050,CAR008,Transshipment,1,33,33,0,30,0,1,2,None,100.0,Yes,8.4
TRN0000155,SHP0000155,RTE0054,CAR001,Transshipment,1,42,42,0,34,2,4,2,None,100.0,Yes,8.2
TRN0000156,SHP0000156,RTE0018,CAR006,Transshipment,1,42,56,14,40,10,4,2,None,75.0,No,9.1
TRN0000157,SHP0000157,RTE0010,CAR004,Transshipment,1,37,37,0,29,4,3,1,None,100.0,Yes,3.4
TRN0000158,SHP0000158,RTE0019,CAR010,Direct,0,28,28,0,24,3,1,0,None,100.0,Yes,5.4
TRN0000159,SHP0000159,RTE0009,CAR003,Direct,0,30,30,0,24,4,2,0,None,100.0,Yes,5.0
TRN0000160,SHP0000160,RTE0028,CAR007,Transshipment,1,28,39,11,29,7,1,2,Equipment Shortage,71.8,No,8.8
TRN0000161,SHP0000161,RTE0037,CAR001,Direct,0,19,31,12,23,6,2,0,None,61.3,No,7.0
TRN0000162,SHP0000162,RTE0031,CAR005,Direct,0,20,20,0,15,4,1,0,None,100.0,Yes,7.3
TRN0000163,SHP0000163,RTE0003,CAR002,Direct,0,20,20,0,16,2,2,0,None,100.0,Yes,5.1
TRN0000164,SHP0000164,RTE0045,CAR003,Direct,0,27,30,3,22,4,4,0,Transshipment Delay,90.0,No,2.2
TRN0000165,SHP0000165,RTE0011,CAR001,Direct,0,15,15,0,12,1,2,0,None,100.0,Yes,6.6
TRN0000166,SHP0000166,RTE0009,CAR010,Direct,0,30,30,0,26,2,2,0,None,100.0,Yes,3.4
TRN0000167,SHP0000167,RTE0015,CAR007,Direct,0,21,21,0,13,4,4,0,None,100.0,Yes,4.2
TRN0000168,SHP0000168,RTE0005,CAR009,Direct,0,23,23,0,15,4,4,0,None,100.0,Yes,9.8
TRN0000169,SHP0000169,RTE0029,CAR004,Direct,0,30,33,3,26,5,2,0,Transshipment Delay,90.9,No,6.7
TRN0000170,SHP0000170,RTE0042,CAR002,Transshipment,2,30,43,13,31,9,1,2,None,69.8,No,7.3
TRN0000171,SHP0000171,RTE0019,CAR001,Direct,0,28,28,0,25,2,1,0,None,100.0,Yes,3.2
TRN0000172,SHP0000172,RTE0024,CAR006,Transshipment,1,33,47,14,32,10,2,3,None,70.2,No,6.5
TRN0000173,SHP0000173,RTE0001,CAR010,Direct,0,24,24,0,17,4,3,0,None,100.0,Yes,3.6
TRN0000174,SHP0000174,RTE0027,CAR007,Direct,0,20,20,0,15,2,3,0,None,100.0,Yes,7.1
TRN0000175,SHP0000175,RTE0060,CAR004,Transshipment,1,31,31,0,26,1,2,2,None,100.0,Yes,7.5
TRN0000176,SHP0000176,RTE0028,CAR002,Transshipment,1,28,28,0,21,3,3,1,None,100.0,Yes,7.4
TRN0000177,SHP0000177,RTE0024,CAR009,Transshipment,1,33,33,0,25,4,1,3,None,100.0,Yes,7.6
TRN0000178,SHP0000178,RTE0006,CAR005,Transshipment,1,34,34,0,25,3,4,2,None,100.0,Yes,2.5
TRN0000179,SHP0000179,RTE0050,CAR002,Transshipment,1,33,33,0,27,1,4,1,None,100.0,Yes,4.0
TRN0000180,SHP0000180,RTE0060,CAR003,Transshipment,1,31,40,9,31,5,3,1,Weather Delay,77.5,No,9.5
TRN0000181,SHP0000181,RTE0054,CAR002,Transshipment,1,42,42,0,39,1,1,1,None,100.0,Yes,4.7
TRN0000182,SHP0000182,RTE0005,CAR008,Direct,0,23,23,0,20,1,2,0,None,100.0,Yes,8.0
TRN0000183,SHP0000183,RTE0047,CAR010,Direct,0,23,23,0,20,0,3,0,None,100.0,Yes,8.9
TRN0000184,SHP0000184,RTE0001,CAR004,Direct,0,24,35,11,24,7,4,0,Customs Delay,68.6,No,2.8
TRN0000185,SHP0000185,RTE0015,CAR007,Direct,0,21,21,0,17,2,2,0,None,100.0,Yes,2.9
TRN0000186,SHP0000186,RTE0029,CAR002,Direct,0,30,30,0,25,1,4,0,None,100.0,Yes,9.0
TRN0000187,SHP0000187,RTE0009,CAR004,Direct,0,30,30,0,26,1,3,0,None,100.0,Yes,1.3
TRN0000188,SHP0000188,RTE0014,CAR003,Transshipment,1,22,22,0,15,2,3,2,None,100.0,Yes,4.3
TRN0000189,SHP0000189,RTE0050,CAR004,Transshipment,1,33,33,0,29,0,3,1,None,100.0,Yes,3.4
TRN0000190,SHP0000190,RTE0003,CAR004,Direct,0,20,20,0,16,2,2,0,None,100.0,Yes,1.7
TRN0000191,SHP0000191,RTE0012,CAR001,Transshipment,2,21,21,0,11,3,3,4,None,100.0,Yes,9.0
TRN0000192,SHP0000192,RTE0002,CAR001,Transshipment,2,36,36,0,25,2,3,6,None,100.0,Yes,4.0
TRN0000193,SHP0000193,RTE0005,CAR001,Direct,0,23,23,0,19,2,2,0,None,100.0,Yes,6.7
TRN0000194,SHP0000194,RTE0011,CAR010,Direct,0,15,15,0,8,4,3,0,None,100.0,Yes,8.7
TRN0000195,SHP0000195,RTE0030,CAR003,Transshipment,1,35,35,0,28,2,4,1,None,100.0,Yes,5.6
TRN0000196,SHP0000196,RTE0028,CAR004,Transshipment,1,28,28,0,24,2,1,1,None,100.0,Yes,6.6
TRN0000197,SHP0000197,RTE0023,CAR010,Direct,0,21,21,0,17,0,4,0,None,100.0,Yes,7.8
TRN0000198,SHP0000198,RTE0017,CAR001,Direct,0,31,37,6,28,5,4,0,Transshipment Delay,83.8,No,2.6
TRN0000199,SHP0000199,RTE0059,CAR001,Direct,0,24,34,10,25,6,3,0,None,70.6,No,7.6
TRN0000200,SHP0000200,RTE0045,CAR006,Direct,0,27,27,0,23,2,2,0,None,100.0,Yes,9.2
TRN0000201,SHP0000201,RTE0051,CAR008,Direct,0,21,21,0,13,4,4,0,None,100.0,Yes,7.9
TRN0000202,SHP0000202,RTE0001,CAR006,Direct,0,24,24,0,19,4,1,0,None,100.0,Yes,3.2
TRN0000203,SHP0000203,RTE0009,CAR002,Direct,0,30,30,0,29,0,1,0,None,100.0,Yes,3.8
TRN0000204,SHP0000204,RTE0012,CAR007,Transshipment,2,21,21,0,14,0,3,4,None,100.0,Yes,9.8
TRN0000205,SHP0000205,RTE0025,CAR005,Direct,0,18,18,0,16,0,2,0,None,100.0,Yes,5.3
TRN0000206,SHP0000206,RTE0059,CAR010,Direct,0,24,24,0,18,4,2,0,None,100.0,Yes,9.1
TRN0000207,SHP0000207,RTE0058,CAR002,Transshipment,2,37,37,0,30,0,3,4,None,100.0,Yes,8.3
TRN0000208,SHP0000208,RTE0002,CAR001,Transshipment,2,36,36,0,26,4,2,4,None,100.0,Yes,3.9
TRN0000209,SHP0000209,RTE0054,CAR008,Transshipment,1,42,42,0,39,1,1,1,None,100.0,Yes,7.5
TRN0000210,SHP0000210,RTE0022,CAR003,Transshipment,1,36,36,0,32,0,2,2,None,100.0,Yes,4.6
TRN0000211,SHP0000211,RTE0027,CAR003,Direct,0,20,20,0,16,2,2,0,None,100.0,Yes,5.3
TRN0000212,SHP0000212,RTE0047,CAR009,Direct,0,23,23,0,18,3,2,0,None,100.0,Yes,2.9
TRN0000213,SHP0000213,RTE0024,CAR001,Transshipment,1,33,38,5,30,2,3,3,Port Congestion,86.8,No,4.7
TRN0000214,SHP0000214,RTE0005,CAR008,Direct,0,23,23,0,16,3,4,0,None,100.0,Yes,7.7
TRN0000215,SHP0000215,RTE0026,CAR006,Transshipment,1,29,29,0,22,3,1,3,None,100.0,Yes,1.2
TRN0000216,SHP0000216,RTE0046,CAR002,Transshipment,1,35,35,0,26,4,4,1,None,100.0,Yes,7.7
TRN0000217,SHP0000217,RTE0027,CAR009,Direct,0,20,30,10,20,9,1,0,Equipment Shortage,66.7,No,8.2
TRN0000218,SHP0000218,RTE0051,CAR010,Direct,0,21,23,2,14,5,4,0,Customs Delay,91.3,No,9.6
TRN0000219,SHP0000219,RTE0043,CAR007,Direct,0,30,30,0,26,0,4,0,None,100.0,Yes,1.1
TRN0000220,SHP0000220,RTE0055,CAR005,Direct,0,18,33,15,20,9,4,0,Customs Delay,54.5,No,4.1
TRN0000221,SHP0000221,RTE0038,CAR010,Transshipment,2,27,27,0,24,0,1,2,None,100.0,Yes,9.1
TRN0000222,SHP0000222,RTE0042,CAR008,Transshipment,2,30,30,0,25,2,1,2,None,100.0,Yes,7.5
TRN0000223,SHP0000223,RTE0025,CAR006,Direct,0,18,18,0,16,1,1,0,None,100.0,Yes,1.4
TRN0000224,SHP0000224,RTE0018,CAR008,Transshipment,1,42,42,0,38,2,1,1,None,100.0,Yes,9.2
TRN0000225,SHP0000225,RTE0005,CAR004,Direct,0,23,38,15,26,8,4,0,None,60.5,No,9.7
TRN0000226,SHP0000226,RTE0046,CAR009,Transshipment,1,35,48,13,39,6,2,1,Transshipment Delay,72.9,No,6.0
TRN0000227,SHP0000227,RTE0030,CAR001,Transshipment,1,35,35,0,29,0,3,3,None,100.0,Yes,7.3
