Shipment_ID,Customer_ID,Carrier_ID,Carrier_Name,Route_ID,Route_Type,Origin_Port,Destination_Port,Num_Transshipments,ETD,ETA,Actual_Arrival,Std_Transit_Days,Actual_Transit_Days,Delay_Days,Delay_Reason,On_Time,Num_Containers,Container_Type,Commodity,Incoterms,Cargo_Value_USD,Shipment_Status
SHP0000011,CUS0031,CAR002,MSC,RTE0047,Direct,Hamburg,Miami,0,2024-07-07,2024-07-30,2024-07-30,23,23,0,None,Yes,10,20GP,Textiles,CFR,260472.27,Delivered
SHP0000012,CUS0020,CAR009,COSCO,RTE0047,Direct,Hamburg,Miami,0,2024-07-27,2024-08-19,2024-08-30,23,34,11,Port Congestion,No,8,20RF,Food Products,FOB,515755.41,Delivered
SHP0000013,CUS0021,CAR002,MSC,RTE0005,Direct,Shanghai,Chicago,0,2022-10-31,2022-11-23,2022-11-23,23,23,0,None,Yes,10,40RF,Steel Products,EXW,411859.18,Delivered
SHP0000014,CUS0033,CAR008,ZIM,RTE0019,Direct,Busan,Toronto,0,2024-05-31,2024-06-28,2024-06-30,28,30,2,Port Congestion,No,9,40GP,Food Products,DAP,893686.47,Delivered
SHP0000015,CUS0026,CAR008,ZIM,RTE0053,Direct,Colombo,Seattle,0,2024-05-01,2024-06-02,2024-06-02,32,32,0,None,Yes,7,40HC,Machinery,EXW,955912.89,Delivered
SHP0000016,CUS0006,CAR002,MSC,RTE0031,Direct,Hong Kong,Halifax,0,2022-06-24,2022-07-14,2022-07-14,20,20,0,None,Yes,6,40GP,Steel Products,FOB,607141.83,Delivered
SHP0000017,CUS0027,CAR002,MSC,RTE0021,Direct,Busan,Miami,0,2023-12-26,2024-01-19,2024-01-19,24,24,0,None,Yes,7,20GP,Machinery,CFR,346826.45,Delivered
SHP0000018,CUS0010,CAR004,Evergreen,RTE0034,Transshipment,Hong Kong,New York,1,2024-09-14,2024-10-11,2024-10-15,27,31,4,Customs Inspection,No,9,40HC,Apparel,EXW,595395.0,Delivered
SHP0000019,CUS0050,CAR009,COSCO,RTE0055,Direct,Kaohsiung,New York,0,2022-02-23,2022-03-13,2022-03-23,18,28,10,Customs Inspection,No,1,40GP,Machinery,EXW,925460.64,Delivered
SHP0000020,CUS0037,CAR003,CMA CGM,RTE0012,Transshipment,Shenzhen,Los Angeles,2,2024-03-31,2024-04-21,2024-04-21,21,21,0,None,Yes,1,20GP,Steel Products,CIF,407384.69,Delivered
SHP0000021,CUS0020,CAR006,ONE,RTE0011,Direct,Shenzhen,Los Angeles,0,2023-10-27,2023-11-11,2023-11-24,15,28,13,Equipment Shortage,No,2,20GP,Furniture,CIF,766714.09,Delivered
SHP0000022,CUS0029,CAR005,Hapag-Lloyd,RTE0006,Transshipment,Shanghai,Chicago,1,2024-05-18,2024-06-21,2024-06-21,34,34,0,None,Yes,7,40HC,Auto Parts,CFR,158126.63,Delivered
SHP0000023,CUS0032,CAR010,HMM,RTE0019,Direct,Busan,Toronto,0,2024-12-15,2025-01-12,2025-01-12,28,28,0,None,Yes,4,20RF,Toys,FOB,57302.73,In Transit
SHP0000024,CUS0049,CAR003,CMA CGM,RTE0014,Transshipment,Ningbo,Seattle,1,2023-06-08,2023-06-30,2023-06-30,22,22,0,None,Yes,1,20RF,Food Products,CIF,172726.42,Delivered
SHP0000025,CUS0036,CAR009,COSCO,RTE0015,Direct,Ningbo,Miami,0,2023-12-27,2024-01-17,2024-01-17,21,21,0,None,Yes,1,20RF,Electronics,DAP,925104.31,Delivered
SHP0000026,CUS0037,CAR007,Yang Ming,RTE0037,Direct,Rotterdam,Miami,0,2024-04-08,2024-04-27,2024-04-27,19,19,0,None,Yes,5,20GP,Food Products,FOB,967889.71,Delivered
SHP0000027,CUS0045,CAR008,ZIM,RTE0040,Transshipment,Rotterdam,Los Angeles,1,2024-01-12,2024-02-14,2024-02-14,33,33,0,None,Yes,2,40GP,Food Products,CFR,430427.33,Delivered
SHP0000028,CUS0048,CAR005,Hapag-Lloyd,RTE0056,Transshipment,Kaohsiung,New York,2,2023-11-27,2023-12-25,2023-12-25,28,28,0,None,Yes,3,20GP,Steel Products,FOB,554074.58,Delivered
SHP0000029,CUS0023,CAR006,ONE,RTE0050,Transshipment,Colombo,Halifax,1,2022-10-30,2022-12-02,2022-12-02,33,33,0,None,Yes,5,40GP,Furniture,CFR,195226.3,Delivered
SHP0000030,CUS0050,CAR003,CMA CGM,RTE0005,Direct,Shanghai,Chicago,0,2024-10-08,2024-10-31,2024-11-08,23,31,8,Equipment Shortage,No,8,40RF,Toys,EXW,871034.53,Delivered
SHP0000031,CUS0005,CAR008,ZIM,RTE0009,Direct,Shenzhen,Montreal,0,2024-08-18,2024-09-17,2024-09-17,30,30,0,None,Yes,5,40RF,Electronics,EXW,531970.04,Delivered
SHP0000032,CUS0004,CAR001,Maersk,RTE0030,Transshipment,Singapore,Miami,1,2024-01-26,2024-03-01,2024-03-01,35,35,0,None,Yes,2,40RF,Toys,CFR,415258.35,Delivered
SHP0000033,CUS0029,CAR001,Maersk,RTE0051,Direct,Colombo,Houston,0,2023-01-21,2023-02-11,2023-02-11,21,21,0,None,Yes,9,40GP,Electronics,DAP,148326.78,Delivered
SHP0000034,CUS0033,CAR002,MSC,RTE0021,Direct,Busan,Miami,0,2022-12-20,2023-01-13,2023-01-13,24,24,0,None,Yes,8,20RF,Steel Products,CFR,629315.14,Delivered
SHP0000035,CUS0025,CAR005,Hapag-Lloyd,RTE0060,Transshipment,Kaohsiung,Seattle,1,2024-04-17,2024-05-18,2024-05-18,31,31,0,None,Yes,10,20GP,Chemicals,FOB,363206.22,Delivered
SHP0000036,CUS0017,CAR005,Hapag-Lloyd,RTE0025,Direct,Singapore,New York,0,2022-11-04,2022-11-22,2022-11-22,18,18,0,None,Yes,3,40HC,Machinery,DAP,172504.08,Delivered
SHP0000037,CUS0036,CAR005,Hapag-Lloyd,RTE0005,Direct,Shanghai,Chicago,0,2024-02-11,2024-03-05,2024-03-16,23,34,11,Transshipment Delay,No,9,20GP,Food Products,CFR,393736.69,Delivered
SHP0000038,CUS0022,CAR004,Evergreen,RTE0012,Transshipment,Shenzhen,Los Angeles,2,2024-09-22,2024-10-13,2024-10-13,21,21,0,None,Yes,3,40GP,Apparel,EXW,852206.97,Delivered
SHP0000039,CUS0048,CAR009,COSCO,RTE0050,Transshipment,Colombo,Halifax,1,2024-12-14,2025-01-16,2025-01-16,33,33,0,None,Yes,10,40GP,Toys,DAP,196540.12,In Transit
SHP0000040,CUS0011,CAR010,HMM,RTE0046,Transshipment,Hamburg,Halifax,1,2024-06-15,2024-07-20,2024-07-20,35,35,0,None,Yes,4,20RF,Toys,EXW,764771.61,Delivered
SHP0000041,CUS0016,CAR009,COSCO,RTE0015,Direct,Ningbo,Miami,0,2023-09-26,2023-10-17,2023-10-30,21,34,13,Transshipment Delay,No,6,40RF,Textiles,DAP,780966.62,Delivered
SHP0000042,CUS0027,CAR009,COSCO,RTE0033,Direct,Hong Kong,New York,0,2022-11-28,2022-12-20,2022-12-20,22,22,0,None,Yes,10,40GP,Machinery,FOB,659120.08,Delivered
SHP0000043,CUS0046,CAR002,MSC,RTE0035,Direct,Hong Kong,Houston,0,2024-11-22,2024-12-17,2024-12-17,25,25,0,None,Yes,2,40GP,Machinery,DAP,910040.9,Delivered
SHP0000044,CUS0015,CAR002,MSC,RTE0028,Transshipment,Singapore,Chicago,1,2024-07-12,2024-08-09,2024-08-09,28,28,0,None,Yes,1,20RF,Electronics,DAP,526906.76,Delivered
SHP0000045,CUS0015,CAR006,ONE,RTE0006,Transshipment,Shanghai,Chicago,1,2022-02-27,2022-04-02,2022-04-08,34,40,6,Customs Inspection,No,3,40GP,Electronics,EXW,921526.36,Delivered
SHP0000046,CUS0049,CAR003,CMA CGM,RTE0053,Direct,Colombo,Seattle,0,2024-08-18,2024-09-19,2024-09-19,32,32,0,None,Yes,2,20GP,Machinery,CIF,843214.94,Delivered
SHP0000047,CUS0034,CAR010,HMM,RTE0047,Direct,Hamburg,Miami,0,2024-05-16,2024-06-08,2024-06-10,23,25,2,Transshipment Delay,No,5,20GP,Electronics,CIF,448834.27,Delivered
SHP0000048,CUS0008,CAR002,MSC,RTE0029,Direct,Singapore,Miami,0,2024-10-20,2024-11-19,2024-11-19,30,30,0,None,Yes,9,40RF,Auto Parts,CIF,326708.39,Delivered
SHP0000049,CUS0037,CAR004,Evergreen,RTE0024,Transshipment,Busan,Chicago,1,2024-05-03,2024-06-05,2024-06-05,33,33,0,None,Yes,2,40RF,Chemicals,FOB,955733.49,Delivered
SHP0000050,CUS0036,CAR009,COSCO,RTE0051,Direct,Colombo,Houston,0,2022-02-11,2022-03-04,2022-03-11,21,28,7,Port Congestion,No,7,40HC,Machinery,FOB,389239.18,Delivered
SHP0000051,CUS0050,CAR002,MSC,RTE0016,Transshipment,Ningbo,Miami,2,2023-11-12,2023-12-08,2023-12-08,26,26,0,None,Yes,9,40HC,Furniture,DAP,981778.23,Delivered
SHP0000052,CUS0005,CAR003,CMA CGM,RTE0011,Direct,Shenzhen,Los Angeles,0,2024-07-26,2024-08-10,2024-08-10,15,15,0,None,Yes,1,40GP,Electronics,EXW,936702.43,Delivered
SHP0000053,CUS0031,CAR009,COSCO,RTE0053,Direct,Colombo,Seattle,0,2023-06-03,2023-07-05,2023-07-06,32,33,1,Transshipment Delay,No,5,40HC,Electronics,EXW,309555.78,Delivered
SHP0000054,CUS0048,CAR007,Yang Ming,RTE0027,Direct,Singapore,Chicago,0,2024-06-19,2024-07-09,2024-07-24,20,35,15,Customs Inspection,No,3,20RF,Textiles,EXW,928094.94,Delivered
SHP0000055,CUS0047,CAR002,MSC,RTE0051,Direct,Colombo,Houston,0,2024-05-19,2024-06-09,2024-06-09,21,21,0,None,Yes,3,40RF,Machinery,EXW,147468.01,Delivered
SHP0000056,CUS0029,CAR005,Hapag-Lloyd,RTE0020,Transshipment,Busan,Toronto,1,2024-05-22,2024-06-26,2024-06-26,35,35,0,None,Yes,6,20RF,Electronics,EXW,634108.91,Delivered
SHP0000057,CUS0005,CAR001,Maersk,RTE0041,Direct,Rotterdam,New York,0,2024-04-11,2024-05-03,2024-05-03,22,22,0,None,Yes,3,20GP,Furniture,CFR,694184.43,Delivered
SHP0000058,CUS0016,CAR002,MSC,RTE0009,Direct,Shenzhen,Montreal,0,2024-01-21,2024-02-20,2024-02-20,30,30,0,None,Yes,10,20GP,Toys,CIF,695108.95,Delivered
SHP0000059,CUS0049,CAR008,ZIM,RTE0023,Direct,Busan,Chicago,0,2022-06-07,2022-06-28,2022-06-28,21,21,0,None,Yes,6,20RF,Chemicals,EXW,287131.07,Delivered
SHP0000060,CUS0032,CAR003,CMA CGM,RTE0048,Transshipment,Hamburg,Miami,1,2024-11-26,2024-12-27,2025-01-03,31,38,7,Port Congestion,No,5,40HC,Textiles,CIF,996546.86,In Transit
SHP0000061,CUS0013,CAR008,ZIM,RTE0060,Transshipment,Kaohsiung,Seattle,1,2022-09-09,2022-10-10,2022-10-13,31,34,3,Bad Weather,No,3,20RF,Apparel,EXW,684447.8,Delivered
SHP0000062,CUS0019,CAR009,COSCO,RTE0035,Direct,Hong Kong,Houston,0,2023-09-07,2023-10-02,2023-10-02,25,25,0,None,Yes,3,40HC,Steel Products,CIF,165294.33,Delivered
SHP0000063,CUS0032,CAR004,Evergreen,RTE0010,Transshipment,Shenzhen,Montreal,1,2022-02-23,2022-04-01,2022-04-01,37,37,0,None,Yes,6,20RF,Steel Products,CIF,631350.94,Delivered
SHP0000064,CUS0046,CAR007,Yang Ming,RTE0020,Transshipment,Busan,Toronto,1,2024-09-07,2024-10-12,2024-10-12,35,35,0,None,Yes,7,40RF,Apparel,CIF,973760.74,Delivered
SHP0000065,CUS0044,CAR008,ZIM,RTE0029,Direct,Singapore,Miami,0,2024-11-25,2024-12-25,2024-12-25,30,30,0,None,Yes,9,40RF,Furniture,CIF,460987.37,Delivered
SHP0000066,CUS0034,CAR002,MSC,RTE0003,Direct,Shanghai,Montreal,0,2022-11-10,2022-11-30,2022-11-30,20,20,0,None,Yes,6,40GP,Chemicals,CFR,900179.62,Delivered
SHP0000067,CUS0041,CAR004,Evergreen,RTE0017,Direct,Ningbo,New York,0,2023-07-17,2023-08-17,2023-08-17,31,31,0,None,Yes,10,40RF,Apparel,CFR,658938.06,Delivered
SHP0000068,CUS0011,CAR003,CMA CGM,RTE0037,Direct,Rotterdam,Miami,0,2023-11-23,2023-12-12,2023-12-26,19,33,14,Port Congestion,No,1,20GP,Electronics,CFR,301423.11,Delivered
SHP0000069,CUS0040,CAR007,Yang Ming,RTE0038,Transshipment,Rotterdam,Miami,2,2022-03-04,2022-03-31,2022-04-08,27,35,8,Equipment Shortage,No,5,40HC,Textiles,CIF,814453.75,Delivered
SHP0000070,CUS0005,CAR008,ZIM,RTE0019,Direct,Busan,Toronto,0,2022-05-03,2022-05-31,2022-05-31,28,28,0,None,Yes,8,20RF,Auto Parts,EXW,626327.25,Delivered
SHP0000071,CUS0047,CAR006,ONE,RTE0046,Transshipment,Hamburg,Halifax,1,2023-12-09,2024-01-13,2024-01-13,35,35,0,None,Yes,6,40RF,Steel Products,FOB,353160.09,Delivered
SHP0000072,CUS0016,CAR008,ZIM,RTE0017,Direct,Ningbo,New York,0,2022-10-16,2022-11-16,2022-11-16,31,31,0,None,Yes,7,40RF,Food Products,CIF,964551.56,Delivered
SHP0000073,CUS0037,CAR006,ONE,RTE0053,Direct,Colombo,Seattle,0,2023-10-03,2023-11-04,2023-11-08,32,36,4,Bad Weather,No,9,20RF,Textiles,EXW,522501.76,Delivered
SHP0000074,CUS0030,CAR009,COSCO,RTE0026,Transshipment,Singapore,New York,1,2023-05-09,2023-06-07,2023-06-07,29,29,0,None,Yes,1,20GP,Machinery,DAP,617642.83,Delivered
SHP0000075,CUS0019,CAR008,ZIM,RTE0043,Direct,Hamburg,Houston,0,2022-01-17,2022-02-16,2022-02-16,30,30,0,None,Yes,3,40HC,Chemicals,DAP,397640.48,Delivered
SHP0000076,CUS0013,CAR009,COSCO,RTE0037,Direct,Rotterdam,Miami,0,2024-01-13,2024-02-01,2024-02-01,19,19,0,None,Yes,7,40RF,Textiles,CFR,315734.64,Delivered
SHP0000077,CUS0008,CAR010,HMM,RTE0043,Direct,Hamburg,Houston,0,2022-09-21,2022-10-21,2022-10-21,30,30,0,None,Yes,6,40RF,Chemicals,CIF,239104.99,Delivered
SHP0000078,CUS0003,CAR001,Maersk,RTE0033,Direct,Hong Kong,New York,0,2022-03-21,2022-04-12,2022-04-12,22,22,0,None,Yes,8,40RF,Textiles,CIF,625947.5,Delivered
SHP0000079,CUS0021,CAR010,HMM,RTE0021,Direct,Busan,Miami,0,2022-11-29,2022-12-23,2022-12-30,24,31,7,Customs Inspection,No,10,40HC,Steel Products,CFR,555722.84,Delivered
SHP0000080,CUS0002,CAR008,ZIM,RTE0019,Direct,Busan,Toronto,0,2024-01-25,2024-02-22,2024-02-22,28,28,0,None,Yes,7,40RF,Machinery,FOB,617064.14,Delivered
SHP0000081,CUS0037,CAR010,HMM,RTE0042,Transshipment,Rotterdam,New York,2,2023-04-12,2023-05-12,2023-05-12,30,30,0,None,Yes,8,40GP,Steel Products,CFR,785875.82,Delivered
SHP0000082,CUS0003,CAR004,Evergreen,RTE0054,Transshipment,Colombo,Seattle,1,2022-08-14,2022-09-25,2022-09-25,42,42,0,None,Yes,6,20RF,Furniture,DAP,705975.25,Delivered
SHP0000083,CUS0031,CAR010,HMM,RTE0049,Direct,Colombo,Halifax,0,2022-05-08,2022-06-05,2022-06-05,28,28,0,None,Yes,4,40RF,Chemicals,DAP,549203.29,Delivered
SHP0000084,CUS0035,CAR008,ZIM,RTE0012,Transshipment,Shenzhen,Los Angeles,2,2023-12-03,2023-12-24,2023-12-24,21,21,0,None,Yes,5,40RF,Textiles,CIF,959470.53,Delivered
SHP0000085,CUS0020,CAR004,Evergreen,RTE0020,Transshipment,Busan,Toronto,1,2023-08-15,2023-09-19,2023-09-19,35,35,0,None,Yes,8,40HC,Textiles,EXW,582463.21,Delivered
SHP0000086,CUS0019,CAR005,Hapag-Lloyd,RTE0047,Direct,Hamburg,Miami,0,2022-09-07,2022-09-30,2022-09-30,23,23,0,None,Yes,7,20RF,Chemicals,CIF,325930.02,Delivered
SHP0000087,CUS0023,CAR002,MSC,RTE0046,Transshipment,Hamburg,Halifax,1,2024-06-24,2024-07-29,2024-07-29,35,35,0,None,Yes,8,40GP,Auto Parts,CFR,307576.09,Delivered
SHP0000088,CUS0007,CAR003,CMA CGM,RTE0017,Direct,Ningbo,New York,0,2023-05-06,2023-06-06,2023-06-06,31,31,0,None,Yes,9,40GP,Auto Parts,FOB,145188.06,Delivered
SHP0000089,CUS0044,CAR002,MSC,RTE0032,Transshipment,Hong Kong,Halifax,1,2022-10-09,2022-11-08,2022-11-09,30,31,1,Transshipment Delay,No,7,20RF,Textiles,CIF,768115.51,Delivered
SHP0000090,CUS0050,CAR001,Maersk,RTE0020,Transshipment,Busan,Toronto,1,2022-07-03,2022-08-07,2022-08-07,35,35,0,None,Yes,9,20GP,Furniture,DAP,888132.72,Delivered
SHP0000091,CUS0026,CAR001,Maersk,RTE0060,Transshipment,Kaohsiung,Seattle,1,2024-10-11,2024-11-11,2024-11-14,31,34,3,Customs Inspection,No,1,20GP,Machinery,CFR,622643.82,Delivered
SHP0000092,CUS0030,CAR005,Hapag-Lloyd,RTE0021,Direct,Busan,Miami,0,2024-12-09,2025-01-02,2025-01-10,24,32,8,Transshipment Delay,No,9,20RF,Machinery,CIF,818373.18,In Transit
SHP0000093,CUS0042,CAR008,ZIM,RTE0048,Transshipment,Hamburg,Miami,1,2023-06-11,2023-07-12,2023-07-12,31,31,0,None,Yes,6,40HC,Toys,CIF,216720.17,Delivered
SHP0000094,CUS0028,CAR007,Yang Ming,RTE0057,Direct,Kaohsiung,Vancouver,0,2024-11-21,2024-12-20,2024-12-20,29,29,0,None,Yes,2,40GP,Furniture,DAP,357421.59,Delivered
SHP0000095,CUS0016,CAR007,Yang Ming,RTE0018,Transshipment,Ningbo,New York,1,2024-07-03,2024-08-14,2024-08-14,42,42,0,None,Yes,6,40HC,Toys,CFR,60863.95,Delivered
SHP0000096,CUS0004,CAR004,Evergreen,RTE0045,Direct,Hamburg,Halifax,0,2022-08-31,2022-09-27,2022-09-27,27,27,0,None,Yes,7,40RF,Machinery,FOB,656775.76,Delivered
SHP0000097,CUS0015,CAR010,HMM,RTE0023,Direct,Busan,Chicago,0,2023-03-25,2023-04-15,2023-04-15,21,21,0,None,Yes,8,40RF,Chemicals,DAP,716843.69,Delivered
SHP0000098,CUS0043,CAR009,COSCO,RTE0049,Direct,Colombo,Halifax,0,2023-03-24,2023-04-21,2023-04-21,28,28,0,None,Yes,10,20GP,Steel Products,DAP,551764.47,Delivered
SHP0000099,CUS0008,CAR010,HMM,RTE0060,Transshipment,Kaohsiung,Seattle,1,2022-05-07,2022-06-07,2022-06-07,31,31,0,None,Yes,9,40GP,Toys,CFR,192359.76,Delivered
SHP0000100,CUS0008,CAR008,ZIM,RTE0034,Transshipment,Hong Kong,New York,1,2023-02-25,2023-03-24,2023-03-24,27,27,0,None,Yes,2,40RF,Textiles,FOB,480760.69,Delivered
SHP0000101,CUS0004,CAR010,HMM,RTE0029,Direct,Singapore,Miami,0,2024-08-04,2024-09-03,2024-09-14,30,41,11,Port Congestion,No,7,40HC,Electronics,CIF,599395.7,Delivered
SHP0000102,CUS0035,CAR002,MSC,RTE0024,Transshipment,Busan,Chicago,1,2022-05-04,2022-06-06,2022-06-21,33,48,15,Bad Weather,No,1,40HC,Food Products,CIF,780523.46,Delivered
SHP0000103,CUS0024,CAR007,Yang Ming,RTE0047,Direct,Hamburg,Miami,0,2024-02-23,2024-03-17,2024-03-25,23,31,8,Bad Weather,No,7,20GP,Steel Products,CIF,670857.39,Delivered
SHP0000104,CUS0026,CAR009,COSCO,RTE0012,Transshipment,Shenzhen,Los Angeles,2,2024-12-19,2025-01-09,2025-01-09,21,21,0,None,Yes,4,20GP,Electronics,EXW,489853.71,In Transit
SHP0000105,CUS0025,CAR009,COSCO,RTE0027,Direct,Singapore,Chicago,0,2023-04-16,2023-05-06,2023-05-06,20,20,0,None,Yes,3,40HC,Auto Parts,FOB,80606.45,Delivered
SHP0000106,CUS0016,CAR001,Maersk,RTE0039,Direct,Rotterdam,Los Angeles,0,2023-02-27,2023-03-28,2023-03-28,29,29,0,None,Yes,1,20RF,Toys,FOB,282497.44,Delivered
SHP0000107,CUS0035,CAR004,Evergreen,RTE0030,Transshipment,Singapore,Miami,1,2023-03-21,2023-04-25,2023-05-08,35,48,13,Port Congestion,No,3,40RF,Machinery,CIF,824996.94,Delivered
SHP0000108,CUS0039,CAR010,HMM,RTE0021,Direct,Busan,Miami,0,2023-10-19,2023-11-12,2023-11-12,24,24,0,None,Yes,3,40RF,Auto Parts,DAP,335475.91,Delivered
SHP0000109,CUS0041,CAR003,CMA CGM,RTE0038,Transshipment,Rotterdam,Miami,2,2024-05-24,2024-06-20,2024-06-20,27,27,0,None,Yes,6,20RF,Steel Products,EXW,711492.99,Delivered
SHP0000110,CUS0012,CAR007,Yang Ming,RTE0019,Direct,Busan,Toronto,0,2024-08-27,2024-09-24,2024-09-28,28,32,4,Customs Inspection,No,3,20RF,Electronics,CFR,442043.61,Delivered
SHP0000111,CUS0025,CAR003,CMA CGM,RTE0033,Direct,Hong Kong,New York,0,2023-05-13,2023-06-04,2023-06-04,22,22,0,None,Yes,2,20RF,Chemicals,FOB,558853.76,Delivered
SHP0000112,CUS0025,CAR005,Hapag-Lloyd,RTE0003,Direct,Shanghai,Montreal,0,2022-03-22,2022-04-11,2022-04-11,20,20,0,None,Yes,10,40RF,Auto Parts,DAP,248444.63,Delivered
SHP0000113,CUS0014,CAR001,Maersk,RTE0019,Direct,Busan,Toronto,0,2023-01-25,2023-02-22,2023-02-22,28,28,0,None,Yes,8,40GP,Toys,CIF,426800.46,Delivered
SHP0000114,CUS0025,CAR005,Hapag-Lloyd,RTE0022,Transshipment,Busan,Miami,1,2024-08-12,2024-09-17,2024-09-17,36,36,0,None,Yes,5,40HC,Chemicals,CFR,888671.35,Delivered
SHP0000115,CUS0049,CAR008,ZIM,RTE0051,Direct,Colombo,Houston,0,2023-10-18,2023-11-08,2023-11-08,21,21,0,None,Yes,6,20RF,Electronics,CFR,870880.6,Delivered
SHP0000116,CUS0036,CAR005,Hapag-Lloyd,RTE0001,Direct,Shanghai,Vancouver,0,2024-05-05,2024-05-29,2024-05-29,24,24,0,None,Yes,6,40GP,Food Products,CFR,841694.58,Delivered
SHP0000117,CUS0017,CAR006,ONE,RTE0041,Direct,Rotterdam,New York,0,2024-09-27,2024-10-19,2024-10-19,22,22,0,None,Yes,8,20RF,Furniture,EXW,210802.43,Delivered
SHP0000118,CUS0035,CAR003,CMA CGM,RTE0031,Direct,Hong Kong,Halifax,0,2022-05-01,2022-05-21,2022-05-21,20,20,0,None,Yes,2,20GP,Electronics,DAP,180616.95,Delivered
SHP0000119,CUS0001,CAR003,CMA CGM,RTE0005,Direct,Shanghai,Chicago,0,2023-03-24,2023-04-16,2023-04-16,23,23,0,None,Yes,1,40RF,Toys,DAP,676320.12,Delivered
SHP0000120,CUS0027,CAR009,COSCO,RTE0036,Transshipment,Hong Kong,Houston,2,2022-01-25,2022-02-26,2022-02-26,32,32,0,None,Yes,5,40RF,Machinery,FOB,527105.23,Delivered
SHP0000121,CUS0007,CAR003,CMA CGM,RTE0027,Direct,Singapore,Chicago,0,2022-07-17,2022-08-06,2022-08-06,20,20,0,None,Yes,4,40RF,Steel Products,EXW,824453.67,Delivered
SHP0000122,CUS0024,CAR002,MSC,RTE0026,Transshipment,Singapore,New York,1,2024-04-11,2024-05-10,2024-05-10,29,29,0,None,Yes,4,40HC,Apparel,FOB,138825.48,Delivered
SHP0000123,CUS0004,CAR008,ZIM,RTE0036,Transshipment,Hong Kong,Houston,2,2022-01-20,2022-02-21,2022-02-21,32,32,0,None,Yes,8,20RF,Chemicals,CFR,978462.76,Delivered
SHP0000124,CUS0003,CAR009,COSCO,RTE0057,Direct,Kaohsiung,Vancouver,0,2023-04-16,2023-05-15,2023-05-19,29,33,4,Equipment Shortage,No,8,40HC,Electronics,FOB,700207.31,Delivered
SHP0000125,CUS0043,CAR010,HMM,RTE0036,Transshipment,Hong Kong,Houston,2,2022-03-09,2022-04-10,2022-04-13,32,35,3,Customs Inspection,No,1,40GP,Toys,CIF,764641.75,Delivered
SHP0000126,CUS0020,CAR002,MSC,RTE0025,Direct,Singapore,New York,0,2022-11-29,2022-12-17,2022-12-17,18,18,0,None,Yes,7,40RF,Chemicals,DAP,767828.8,Delivered
SHP0000127,CUS0033,CAR002,MSC,RTE0046,Transshipment,Hamburg,Halifax,1,2023-12-10,2024-01-14,2024-01-14,35,35,0,None,Yes,4,20GP,Chemicals,CFR,780555.37,Delivered
SHP0000128,CUS0002,CAR006,ONE,RTE0025,Direct,Singapore,New York,0,2023-07-14,2023-08-01,2023-08-14,18,31,13,Bad Weather,No,4,40HC,Steel Products,DAP,460255.55,Delivered
