Route_ID,Origin_Port,Destination_Port,Trade_Lane,Route_Type,Transshipment_Ports,Num_Transshipments,Standard_Transit_Days,Distance_KM,Avg_Freight_Rate_USD,Avg_Port_Congestion_Score,Peak_Season_Surcharge_USD,Recommended
RTE0035,Hong Kong,Houston,Hong Kong -> Houston,Direct,None,0,25,10426,2831.03,3.6,233.46,Yes
RTE0036,Hong Kong,Houston,Hong Kong -> Houston,Transshipment,Singapore + Hong Kong,2,32,19927,2599.47,4.6,1258.13,No
RTE0037,Rotterdam,Miami,Rotterdam -> Miami,Direct,None,0,19,10900,3933.38,6.3,219.83,Yes
RTE0038,Rotterdam,Miami,Rotterdam -> Miami,Transshipment,Tanjung Pelepas + Colombo,2,27,20489,3405.99,4.6,1359.38,No
RTE0039,Rotterdam,Los Angeles,Rotterdam -> Los Angeles,Direct,None,0,29,15541,1822.81,3.1,856.43,Yes
RTE0040,Rotterdam,Los Angeles,Rotterdam -> Los Angeles,Transshipment,Colombo,1,33,15528,1669.7,6.0,1350.79,No
RTE0041,Rotterdam,New York,Rotterdam -> New York,Direct,None,0,22,16346,2183.21,3.4,984.92,Yes
RTE0042,Rotterdam,New York,Rotterdam -> New York,Transshipment,Singapore + Salalah,2,30,13349,1894.71,4.2,1056.23,No
RTE0043,Hamburg,Houston,Hamburg -> Houston,Direct,None,0,30,17446,1523.81,2.1,235.51,Yes
RTE0044,Hamburg,Houston,Hamburg -> Houston,Transshipment,Singapore + Port Klang,2,42,21156,1399.9,8.4,616.74,No
RTE0045,Hamburg,Halifax,Hamburg -> Halifax,Direct,None,0,27,13409,1395.93,4.7,730.71,Yes
RTE0046,Hamburg,Halifax,Hamburg -> Halifax,Transshipment,Salalah,1,35,19926,1257.33,6.5,842.64,No
RTE0047,Hamburg,Miami,Hamburg -> Miami,Direct,None,0,23,11143,2752.35,3.5,952.29,Yes
RTE0048,Hamburg,Miami,Hamburg -> Miami,Transshipment,Port Klang,1,31,9006,2451.26,5.8,631.2,No
RTE0049,Colombo,Halifax,Colombo -> Halifax,Direct,None,0,28,11501,2438.05,4.1,834.99,Yes
RTE0050,Colombo,Halifax,Colombo -> Halifax,Transshipment,Salalah,1,33,19876,2141.53,7.8,768.71,No
RTE0051,Colombo,Houston,Colombo -> Houston,Direct,None,0,21,11680,3083.83,5.8,317.88,Yes
RTE0052,Colombo,Houston,Colombo -> Houston,Transshipment,Colombo,1,32,21590,2809.76,4.4,855.89,No
RTE0053,Colombo,Seattle,Colombo -> Seattle,Direct,None,0,32,14291,1744.42,4.0,395.19,Yes
RTE0054,Colombo,Seattle,Colombo -> Seattle,Transshipment,Singapore,1,42,20401,1520.93,7.1,455.24,No
RTE0055,Kaohsiung,New York,Kaohsiung -> New York,Direct,None,0,18,16702,3443.97,6.9,676.36,Yes
RTE0056,Kaohsiung,New York,Kaohsiung -> New York,Transshipment,Port Klang + Salalah,2,28,17976,3213.42,6.7,575.07,No
RTE0057,Kaohsiung,Vancouver,Kaohsiung -> Vancouver,Direct,None,0,29,12050,2460.2,6.0,421.85,Yes
RTE0058,Kaohsiung,Vancouver,Kaohsiung -> Vancouver,Transshipment,Salalah + Colombo,2,37,20690,2199.39,5.7,698.89,No
RTE0059,Kaohsiung,Seattle,Kaohsiung -> Seattle,Direct,None,0,24,9320,3700.48,1.8,385.01,Yes
RTE0060,Kaohsiung,Seattle,Kaohsiung -> Seattle,Transshipment,Salalah,1,31,15678,3169.18,6.0,912.52,No
