Cost_ID,Shipment_ID,Carrier_ID,Route_ID,Route_Type,Base_Freight_USD,Fuel_Surcharge_USD,Peak_Season_Surcharge_USD,Transshipment_Fee_USD,Customs_Fee_USD,Inland_Cost_USD,Insurance_USD,Total_Landed_Cost_USD,Cost_Per_Container_USD,Cost_Year,Cost_Month
CST0000044,SHP0000044,CAR002,RTE0028,Transshipment,1642.83,143.99,0,492.61,1457.11,2810.85,681.6,7228.99,7228.99,2024,7
CST0000045,SHP0000045,CAR006,RTE0006,Transshipment,6757.95,879.9,101.01,427.34,1534.14,2085.6,2493.48,14279.42,4759.81,2022,2
CST0000046,SHP0000046,CAR003,RTE0053,Direct,3856.3,629.32,846.03,0.0,412.78,851.14,2211.8,8807.37,4403.69,2024,8
CST0000047,SHP0000047,CAR010,RTE0047,Direct,5119.85,585.92,0,0.0,1178.42,657.47,979.75,8521.41,1704.28,2024,5
CST0000048,SHP0000048,CAR002,RTE0029,Direct,24722.91,2972.16,0,0.0,890.74,731.38,840.23,30157.42,3350.82,2024,10
CST0000049,SHP0000049,CAR004,RTE0024,Transshipment,3008.56,518.0,0,468.01,793.11,2917.98,2196.21,9901.87,4950.94,2024,5
CST0000050,SHP0000050,CAR009,RTE0051,Direct,16997.68,972.77,0,0.0,617.83,1839.61,766.4,21194.29,3027.76,2022,2
CST0000051,SHP0000051,CAR002,RTE0016,Transshipment,24722.91,2607.31,0,860.28,1320.29,1004.75,2760.26,33275.8,3697.31,2023,11
CST0000052,SHP0000052,CAR003,RTE0011,Direct,3075.53,313.98,852.58,0.0,1598.22,2787.29,2770.76,11398.36,11398.36,2024,7
CST0000053,SHP0000053,CAR009,RTE0053,Direct,12141.2,660.65,555.03,0.0,1782.82,529.97,717.48,16387.15,3277.43,2023,6
CST0000054,SHP0000054,CAR007,RTE0027,Direct,6555.99,537.46,672.85,0.0,380.91,1720.72,1989.6,11857.53,3952.51,2024,6
CST0000055,SHP0000055,CAR002,RTE0051,Direct,8240.97,1459.99,0,0.0,1847.63,2033.28,374.94,13956.81,4652.27,2024,5
CST0000056,SHP0000056,CAR005,RTE0020,Transshipment,6415.2,1029.28,0,236.77,1890.88,1625.03,786.95,11984.11,1997.35,2024,5
CST0000057,SHP0000057,CAR001,RTE0041,Direct,5514.51,392.84,0,0.0,549.51,2083.29,1132.56,9672.71,3224.24,2024,4
CST0000058,SHP0000058,CAR002,RTE0009,Direct,16428.3,1685.73,0,0.0,1092.56,2034.38,796.98,22037.95,2203.8,2024,1
CST0000059,SHP0000059,CAR008,RTE0023,Direct,12161.46,2174.17,0,0.0,355.09,1854.12,668.01,17212.85,2868.81,2022,6
CST0000060,SHP0000060,CAR003,RTE0048,Transshipment,15377.65,2700.0,0,266.73,1319.62,2556.73,2187.66,24408.39,4881.68,2024,11
CST0000061,SHP0000061,CAR008,RTE0060,Transshipment,6080.73,360.15,0,319.5,577.94,408.85,1092.75,8839.92,2946.64,2022,9
CST0000062,SHP0000062,CAR009,RTE0035,Direct,7284.72,538.34,0,0.0,695.11,1511.1,347.1,10376.37,3458.79,2023,9
CST0000063,SHP0000063,CAR004,RTE0010,Transshipment,7021.98,351.18,0,300.94,999.08,2888.68,1156.61,12718.47,2119.74,2022,2
CST0000064,SHP0000064,CAR007,RTE0020,Transshipment,20552.0,1371.38,0,495.26,1861.41,2689.11,2321.11,29290.27,4184.32,2024,9
CST0000065,SHP0000065,CAR008,RTE0029,Direct,19397.07,2156.11,0,0.0,1294.94,2423.35,1041.72,26313.19,2923.69,2024,11
CST0000066,SHP0000066,CAR002,RTE0003,Direct,16481.94,2918.45,1280.0,0.0,361.69,2176.71,2630.35,25849.14,4308.19,2022,11
CST0000067,SHP0000067,CAR004,RTE0017,Direct,15042.8,1077.66,0,0.0,682.37,1335.52,1939.39,20077.74,2007.77,2023,7
CST0000068,SHP0000068,CAR003,RTE0037,Direct,1928.15,105.69,837.52,0.0,202.62,1235.06,748.73,5057.77,5057.77,2023,11
CST0000069,SHP0000069,CAR007,RTE0038,Transshipment,14680.0,2125.07,481.44,884.62,669.03,2239.45,1823.0,22902.61,4580.52,2022,3
CST0000070,SHP0000070,CAR008,RTE0019,Direct,16215.28,2221.17,0,0.0,1859.29,426.61,1242.5,21964.85,2745.61,2022,5
CST0000071,SHP0000071,CAR006,RTE0046,Transshipment,13515.9,1506.53,0,153.96,642.49,2537.96,362.06,18718.9,3119.82,2023,12
CST0000072,SHP0000072,CAR008,RTE0017,Direct,15086.61,1365.23,175.84,0.0,233.07,2355.08,2130.13,21345.96,3049.42,2022,10
CST0000073,SHP0000073,CAR006,RTE0053,Direct,9249.48,1410.55,0,0.0,1647.69,365.16,740.91,13413.79,1490.42,2023,10
CST0000074,SHP0000074,CAR009,RTE0026,Transshipment,1845.82,184.1,1150.77,408.45,271.83,1687.1,1748.35,7296.42,7296.42,2023,5
CST0000075,SHP0000075,CAR008,RTE0043,Direct,6465.69,780.53,0,0.0,1331.02,2172.11,414.37,11163.72,3721.24,2022,1
CST0000076,SHP0000076,CAR009,RTE0037,Direct,16997.68,1832.79,0,0.0,779.05,1941.82,529.14,22080.48,3154.35,2024,1
CST0000077,SHP0000077,CAR010,RTE0043,Direct,18198.9,3206.78,0,0.0,1476.73,857.95,336.53,24076.89,4012.82,2022,9
CST0000078,SHP0000078,CAR001,RTE0033,Direct,15901.92,1284.48,198.23,0.0,541.77,2960.72,1001.49,21888.61,2736.08,2022,3
CST0000079,SHP0000079,CAR010,RTE0021,Direct,30331.5,4868.22,0,0.0,296.16,2375.28,1035.87,38907.03,3890.7,2022,11
CST0000080,SHP0000080,CAR008,RTE0019,Direct,15086.61,837.82,907.68,0.0,1943.88,1910.77,667.7,21354.46,3050.64,2024,1
CST0000081,SHP0000081,CAR010,RTE0042,Transshipment,24265.2,3356.72,0,789.5,366.78,2565.56,2078.37,33422.13,4177.77,2023,4
CST0000082,SHP0000082,CAR004,RTE0054,Transshipment,7021.98,925.47,1298.48,177.6,559.45,2611.63,911.07,13505.68,2250.95,2022,8
CST0000083,SHP0000083,CAR010,RTE0049,Direct,12132.6,1221.43,0,0.0,696.22,1213.96,600.88,15865.09,3966.27,2022,5
CST0000084,SHP0000084,CAR008,RTE0012,Transshipment,10776.15,767.17,0,430.53,414.75,1903.8,1733.34,16025.74,3205.15,2023,12
CST0000085,SHP0000085,CAR004,RTE0020,Transshipment,12034.24,1063.65,0,389.31,1978.02,696.2,947.71,17109.13,2138.64,2023,8
CST0000086,SHP0000086,CAR005,RTE0047,Direct,7484.4,958.61,0,0.0,1059.33,1036.12,789.51,11327.97,1618.28,2022,9
CST0000087,SHP0000087,CAR002,RTE0046,Transshipment,21975.92,1945.19,1437.87,169.85,1157.28,2707.62,782.83,30176.56,3772.07,2024,6
CST0000088,SHP0000088,CAR003,RTE0017,Direct,27679.77,4689.21,119.89,0.0,720.7,2313.92,384.13,35907.62,3989.74,2023,5
CST0000089,SHP0000089,CAR002,RTE0032,Transshipment,11499.81,1430.56,864.87,297.43,1626.81,2470.55,2300.97,20491.0,2927.29,2022,10
CST0000090,SHP0000090,CAR001,RTE0020,Transshipment,16543.53,1111.65,0,236.87,1465.62,1855.79,2527.36,23740.82,2637.87,2022,7
CST0000091,SHP0000091,CAR001,RTE0060,Transshipment,1838.17,178.72,206.8,284.53,1531.75,1113.26,784.21,5937.44,5937.44,2024,10
CST0000092,SHP0000092,CAR005,RTE0021,Direct,9622.8,1089.31,0,0.0,588.95,1348.31,1475.17,14124.54,1569.39,2024,12
CST0000093,SHP0000093,CAR008,RTE0048,Transshipment,12931.38,1202.41,590.06,164.54,912.46,1471.73,220.35,17492.93,2915.49,2023,6
CST0000094,SHP0000094,CAR007,RTE0057,Direct,5872.0,327.2,1330.65,0.0,1339.92,1018.15,363.15,10251.07,5125.53,2024,11
CST0000095,SHP0000095,CAR007,RTE0018,Transshipment,17616.0,2128.94,0,450.85,1255.95,1899.39,181.18,23532.31,3922.05,2024,7
CST0000096,SHP0000096,CAR004,RTE0045,Direct,10529.96,606.86,958.64,0.0,443.46,1942.44,1102.03,15583.39,2226.2,2022,8
CST0000097,SHP0000097,CAR010,RTE0023,Direct,24265.2,3385.3,690.1,0.0,1041.48,1913.13,1048.41,32343.62,4042.95,2023,3
CST0000098,SHP0000098,CAR009,RTE0049,Direct,18458.2,1191.93,0,0.0,906.36,433.76,1342.56,22332.81,2233.28,2023,3
CST0000099,SHP0000099,CAR010,RTE0060,Transshipment,27298.35,2892.25,0,488.45,827.87,2499.76,382.03,34388.71,3820.97,2022,5
CST0000100,SHP0000100,CAR008,RTE0034,Transshipment,4310.46,380.98,0,433.96,1966.67,1894.45,612.55,9599.07,4799.53,2023,2
CST0000101,SHP0000101,CAR010,RTE0029,Direct,21232.05,1942.16,1443.97,0.0,713.56,1189.32,1215.33,27736.39,3962.34,2024,8
CST0000102,SHP0000102,CAR002,RTE0024,Transshipment,2746.99,181.76,0,346.37,1493.06,1907.16,1323.55,7998.89,7998.89,2022,5
CST0000103,SHP0000103,CAR007,RTE0047,Direct,15297.31,1461.67,0,0.0,1721.48,2357.64,1205.04,22043.14,3149.02,2024,2
CST0000104,SHP0000104,CAR009,RTE0012,Transshipment,7383.28,758.99,895.68,780.08,468.93,1631.97,974.85,12893.78,3223.45,2024,12
CST0000105,SHP0000105,CAR009,RTE0027,Direct,7284.72,662.45,0,0.0,1945.11,1402.65,211.33,11506.26,3835.42,2023,4
CST0000106,SHP0000106,CAR001,RTE0039,Direct,1838.17,292.72,0,0.0,1005.76,1100.1,770.48,5007.23,5007.23,2023,2
CST0000107,SHP0000107,CAR004,RTE0030,Transshipment,4512.84,316.14,0,472.53,228.86,831.2,2144.62,8506.19,2835.4,2023,3
CST0000108,SHP0000108,CAR010,RTE0021,Direct,9099.45,529.36,0,0.0,874.03,837.43,338.41,11678.68,3892.89,2023,10
CST0000109,SHP0000109,CAR003,RTE0038,Transshipment,11568.9,1242.02,952.21,363.12,1094.69,553.5,1313.77,17088.21,2848.03,2024,5
CST0000110,SHP0000110,CAR007,RTE0019,Direct,6555.99,623.42,0,0.0,432.11,990.28,508.4,9110.2,3036.73,2024,8
CST0000111,SHP0000111,CAR003,RTE0033,Direct,3856.3,315.79,0,0.0,677.63,2216.07,1641.5,8707.29,4353.65,2023,5
CST0000112,SHP0000112,CAR005,RTE0003,Direct,15669.3,2274.4,0,0.0,1660.97,2174.87,739.13,22518.67,2251.87,2022,3
CST0000113,SHP0000113,CAR001,RTE0019,Direct,15901.92,1761.61,0,0.0,421.59,2820.65,495.05,21400.82,2675.1,2023,1
CST0000114,SHP0000114,CAR005,RTE0022,Transshipment,7834.65,1046.62,0,351.45,916.15,2903.94,2553.56,15606.37,3121.27,2024,8
CST0000115,SHP0000115,CAR008,RTE0051,Direct,12161.46,1948.14,0,0.0,794.18,2689.97,1835.34,19429.09,3238.18,2023,10
CST0000116,SHP0000116,CAR005,RTE0001,Direct,9401.58,708.17,0,0.0,674.92,2110.49,1616.06,14511.22,2418.54,2024,5
CST0000117,SHP0000117,CAR006,RTE0041,Direct,8221.76,995.67,0,0.0,288.52,801.49,313.2,10620.64,1327.58,2024,9
CST0000118,SHP0000118,CAR003,RTE0031,Direct,3856.3,566.85,0,0.0,1515.87,1763.56,268.89,7971.47,3985.74,2022,5
CST0000119,SHP0000119,CAR003,RTE0005,Direct,3075.53,156.17,0,0.0,495.1,1929.37,1261.32,6917.49,6917.49,2023,3
CST0000120,SHP0000120,CAR009,RTE0036,Transshipment,12141.2,988.86,0,872.17,1442.37,1930.0,1032.13,18406.73,3681.35,2022,1
CST0000121,SHP0000121,CAR003,RTE0027,Direct,12302.12,1872.35,0,0.0,1749.1,1080.56,890.27,17894.4,4473.6,2022,7
CST0000122,SHP0000122,CAR002,RTE0026,Transshipment,10987.96,1790.1,483.24,417.08,1667.86,2823.88,387.54,18557.66,4639.41,2024,4
CST0000123,SHP0000123,CAR008,RTE0036,Transshipment,16215.28,1780.84,0,715.62,536.3,746.41,1904.87,21899.32,2737.41,2022,1
CST0000124,SHP0000124,CAR009,RTE0057,Direct,19425.92,1569.2,239.18,0.0,1761.44,2059.61,765.65,25821.0,3227.62,2023,4
CST0000125,SHP0000125,CAR010,RTE0036,Transshipment,3033.15,245.62,0,702.66,652.45,2977.25,864.44,8475.57,8475.57,2022,3
CST0000126,SHP0000126,CAR002,RTE0025,Direct,19228.93,2503.42,0,0.0,1129.28,1092.0,1094.03,25047.66,3578.24,2022,11
CST0000127,SHP0000127,CAR002,RTE0046,Transshipment,6571.32,582.22,906.97,333.84,1801.02,324.55,1830.66,12350.58,3087.64,2023,12
CST0000128,SHP0000128,CAR006,RTE0025,Direct,9010.6,838.72,0,0.0,1716.93,2163.12,577.01,14306.38,3576.59,2023,7
CST0000129,SHP0000129,CAR007,RTE0043,Direct,4370.66,439.56,663.85,0.0,1441.51,1980.31,576.83,9472.72,4736.36,2023,8
CST0000130,SHP0000130,CAR007,RTE0009,Direct,10926.65,1909.12,0,0.0,1698.21,2429.23,436.85,17400.06,3480.01,2024,1
CST0000131,SHP0000131,CAR008,RTE0028,Transshipment,4310.46,335.13,0,420.71,978.49,1988.63,1578.59,9612.01,4806.01,2024,11
CST0000132,SHP0000132,CAR007,RTE0055,Direct,5872.0,991.01,0,0.0,593.02,2835.93,996.53,11288.49,5644.24,2023,8
CST0000133,SHP0000133,CAR003,RTE0011,Direct,6151.06,888.07,50.65,0.0,1871.44,2271.31,475.5,11708.03,5854.02,2023,9
CST0000134,SHP0000134,CAR006,RTE0005,Direct,22526.5,3476.86,0,0.0,294.25,1321.82,162.1,27781.53,2778.15,2023,5
CST0000135,SHP0000135,CAR006,RTE0026,Transshipment,6166.32,800.8,0,326.2,747.62,2001.47,392.31,10434.72,1739.12,2024,2
CST0000136,SHP0000136,CAR004,RTE0045,Direct,5851.65,919.48,0,0.0,735.52,444.84,1005.28,8956.77,1791.35,2023,10
CST0000137,SHP0000137,CAR007,RTE0052,Transshipment,29360.0,2499.48,1302.81,315.63,1565.5,1667.12,140.26,36850.8,3685.08,2022,8
CST0000138,SHP0000138,CAR004,RTE0045,Direct,8192.31,857.18,0,0.0,1715.34,1460.19,369.44,12594.46,1799.21,2023,8
CST0000139,SHP0000139,CAR007,RTE0045,Direct,21853.3,3486.91,0,0.0,1648.73,2088.37,1589.11,30666.42,3066.64,2022,6
CST0000140,SHP0000140,CAR009,RTE0027,Direct,18458.2,2955.22,605.31,0.0,672.27,1411.38,770.5,24872.88,2487.29,2024,1
CST0000141,SHP0000141,CAR010,RTE0042,Transshipment,7167.79,892.95,0,716.51,1362.24,863.94,605.04,11608.47,1658.35,2024,3
CST0000142,SHP0000142,CAR009,RTE0033,Direct,19425.92,1520.79,0,0.0,1422.9,2321.12,1011.26,25701.99,3212.75,2023,3
CST0000143,SHP0000143,CAR005,RTE0008,Transshipment,9401.58,1335.48,897.24,177.09,1277.74,2206.38,1474.43,16769.94,2794.99,2022,6
CST0000144,SHP0000144,CAR008,RTE0023,Direct,12161.46,1539.71,0,0.0,764.45,2640.29,1798.72,18904.63,3150.77,2024,6
CST0000145,SHP0000145,CAR006,RTE0056,Transshipment,20273.85,3123.32,0,876.48,1595.14,1478.6,522.23,27869.62,3096.62,2022,8
CST0000146,SHP0000146,CAR004,RTE0029,Direct,8192.31,549.97,0,0.0,1807.74,573.86,1068.23,12192.11,1741.73,2023,1
CST0000147,SHP0000147,CAR007,RTE0027,Direct,5872.0,842.15,0,0.0,1160.6,2057.47,528.3,10460.52,5230.26,2023,3
CST0000148,SHP0000148,CAR002,RTE0030,Transshipment,16428.3,2765.37,0,250.91,1879.01,915.54,627.44,22866.57,2286.66,2024,9
CST0000149,SHP0000149,CAR008,RTE0056,Transshipment,10776.15,1519.16,0,615.3,1534.36,2966.82,1894.32,19306.11,3861.22,2022,12
CST0000150,SHP0000150,CAR005,RTE0016,Transshipment,9622.8,653.11,0,714.1,1155.9,2771.63,520.86,15438.4,1715.38,2023,1
CST0000151,SHP0000151,CAR008,RTE0012,Transshipment,10776.15,959.32,1393.72,413.13,915.85,1544.96,1706.6,17709.73,3541.95,2022,12
CST0000152,SHP0000152,CAR006,RTE0055,Direct,15768.55,1796.36,1161.53,0.0,1836.19,647.67,833.71,22044.01,3149.14,2024,9
CST0000153,SHP0000153,CAR008,RTE0045,Direct,8620.92,1151.62,0,0.0,1383.08,2925.83,416.55,14498.0,3624.5,2022,12
CST0000154,SHP0000154,CAR008,RTE0050,Transshipment,20269.1,2035.65,0,394.13,1977.41,839.81,2035.92,27552.02,2755.2,2024,10
CST0000155,SHP0000155,CAR001,RTE0054,Transshipment,12867.19,1606.08,0,257.08,1545.67,1852.38,1826.42,19954.82,2850.69,2024,6
CST0000156,SHP0000156,CAR006,RTE0018,Transshipment,9010.6,1469.44,0,158.58,1423.01,1691.35,1545.4,15298.38,3824.59,2024,6
CST0000157,SHP0000157,CAR004,RTE0010,Transshipment,7521.4,985.75,0,428.87,547.04,2131.33,530.09,12144.48,2428.9,2022,5
CST0000158,SHP0000158,CAR010,RTE0019,Direct,6066.3,306.24,0,0.0,477.5,1366.42,1229.82,9446.28,4723.14,2024,11
CST0000159,SHP0000159,CAR003,RTE0009,Direct,7712.6,1227.26,0,0.0,950.93,1337.32,757.06,11985.17,2996.29,2022,10
CST0000160,SHP0000160,CAR007,RTE0028,Transshipment,20552.0,1291.99,0,465.3,1518.42,2147.84,873.65,26849.2,3835.6,2022,6
CST0000161,SHP0000161,CAR001,RTE0037,Direct,3975.48,342.34,0,0.0,1904.64,1170.68,2427.42,9820.56,4910.28,2022,7
CST0000162,SHP0000162,CAR005,RTE0031,Direct,4700.79,454.1,0,0.0,1938.91,987.87,1674.69,9756.36,3252.12,2023,8
CST0000163,SHP0000163,CAR002,RTE0003,Direct,4928.49,250.09,0,0.0,807.64,2424.62,1815.66,10226.5,3408.83,2024,7
CST0000164,SHP0000164,CAR003,RTE0045,Direct,6151.06,732.12,0,0.0,843.34,1419.75,687.87,9834.14,4917.07,2023,9
CST0000165,SHP0000165,CAR001,RTE0011,Direct,7352.68,678.38,0,0.0,1750.83,1002.03,129.6,10913.52,2728.38,2023,9
CST0000166,SHP0000166,CAR010,RTE0009,Direct,3033.15,383.8,0,0.0,458.7,2589.68,995.5,7460.83,7460.83,2024,11
CST0000167,SHP0000167,CAR007,RTE0015,Direct,14680.0,1744.08,1497.17,0.0,1595.96,2558.54,1741.84,23817.59,4763.52,2022,7
CST0000168,SHP0000168,CAR009,RTE0005,Direct,19425.92,3161.46,678.95,0.0,934.78,423.07,2073.62,26697.8,3337.22,2022,1
CST0000169,SHP0000169,CAR004,RTE0029,Direct,10529.96,1635.15,0,0.0,1122.85,1410.27,1079.42,15777.65,2253.95,2022,7
CST0000170,SHP0000170,CAR002,RTE0042,Transshipment,13734.95,2110.39,0,333.96,1300.63,1743.62,566.51,19790.06,3958.01,2023,8
CST0000171,SHP0000171,CAR001,RTE0019,Direct,15901.92,2053.46,1120.06,0.0,1402.35,332.71,2271.77,23082.27,2885.28,2024,10
CST0000172,SHP0000172,CAR006,RTE0024,Transshipment,13515.9,1796.75,713.45,319.68,1720.34,2517.43,2058.61,22642.16,3773.69,2024,3
CST0000173,SHP0000173,CAR010,RTE0001,Direct,1023.97,116.02,504.95,0.0,683.71,866.31,1150.93,4345.89,4345.89,2022,1
CST0000174,SHP0000174,CAR007,RTE0027,Direct,26424.0,2249.72,0,0.0,276.03,852.54,324.45,30126.74,3347.42,2024,4
CST0000175,SHP0000175,CAR004,RTE0060,Transshipment,3008.56,298.13,448.73,328.3,1970.61,1847.2,209.66,8111.19,4055.59,2023,11
CST0000176,SHP0000176,CAR002,RTE0028,Transshipment,4928.49,655.94,0,237.93,233.91,1209.31,1903.38,9168.96,3056.32,2022,4
CST0000177,SHP0000177,CAR009,RTE0024,Transshipment,9229.1,1374.81,0,380.25,977.95,755.18,1824.61,14541.9,2908.38,2023,6
CST0000178,SHP0000178,CAR005,RTE0006,Transshipment,6415.2,546.15,1213.11,165.5,619.88,543.06,588.64,10091.54,1681.92,2022,6
CST0000179,SHP0000179,CAR002,RTE0050,Transshipment,1642.83,210.38,498.19,248.13,1714.76,347.42,129.51,4791.22,4791.22,2022,8
CST0000180,SHP0000180,CAR003,RTE0060,Transshipment,12302.12,1114.37,0,183.73,1539.38,2095.47,1787.06,19022.13,4755.53,2022,3
CST0000181,SHP0000181,CAR002,RTE0054,Transshipment,2746.99,327.54,0,363.38,1920.2,606.93,1588.96,7554.0,7554.0,2024,2
CST0000182,SHP0000182,CAR008,RTE0005,Direct,16215.28,1893.18,0,0.0,1836.3,1711.24,430.98,22086.98,2760.87,2023,9
CST0000183,SHP0000183,CAR010,RTE0047,Direct,24265.2,1224.91,0,0.0,1710.38,1164.0,440.66,28805.15,3600.64,2024,8
CST0000184,SHP0000184,CAR004,RTE0001,Direct,7021.98,1148.75,1208.97,0.0,1226.99,729.77,341.15,11677.61,1946.27,2023,12
CST0000185,SHP0000185,CAR007,RTE0015,Direct,4370.66,343.41,644.04,0.0,849.07,1781.32,1076.31,9064.81,4532.4,2022,5
